nombre,categoria,subcategoria,descripcion,fuente,evidencia,imagenes,instagram,twitter,facebook,tiktok,youtube,estado
Marbelle,artistas,Cantantes,"Respaldo público a la campaña; en entrevista: 'Es un tigre, todo lo que dice que va a hacer, lo hace.'",https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,Copia archivada (Wayback)::https://web.archive.org/web/20260611023039/https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,,marbelle.oficial,Marbelle30,Marbelle.oficial,marbelle29_oficial,https://www.youtube.com/channel/UCK59cjiNh-LjCVoqzfZopDg
Silvestre Dangond,artistas,Cantantes,"En un concierto: 'Abelardo, sigues siendo el papá, te necesitamos.'",https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,Copia archivada (Wayback)::https://web.archive.org/web/20260611023039/https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,,silvestredangond,SilvestreFDC,SilvestreDangond,silvestredangond,@SilvestreDangondTV
Miguel Morales,artistas,Cantantes,Respaldo público a la campaña en redes sociales.,https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,Copia archivada (Wayback)::https://web.archive.org/web/20260611023039/https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,,miguelmorales_lavoz,,MiguelMoralesOficial,miguelmoraleslavoz,@MiguelMorales_LaVoz
Cristina Hurtado,artistas,Presentadores,"Publicó fotos con el candidato: 'Firme por la familia, por mi país. Firme por la patria.'",https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,Copia archivada (Wayback)::https://web.archive.org/web/20260611023039/https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,,crisshurtado,CrissHurtado,crisshurtado8,crisshurtado8,crisshurtado
Jessica Cediel,artistas,Presentadores,Apareció en un video junto al candidato llamando a votar por él.,https://www.kienyke.com/entretenimiento/el-ferreo-apoyo-de-jessica-cediel-abelardo-de-la-espriella,,,jessicacedielnet,jessicacediel,JessicaCedielNet,jessicacedieloficial,@jessicacedieloficial4531
Amparo Grisales,artistas,Actores,Llamada de apoyo a la campaña: 'firmes por la patria.',https://www.infobae.com/colombia/2026/06/12/abelardo-de-la-espriella-sigue-sumando-apoyos-para-la-seleccion-del-tigre-estos-son-los-nombres-que-llegan-a-la-campana/,Copia archivada (Wayback)::https://web.archive.org/web/20260618192540/https://www.infobae.com/colombia/2026/06/12/abelardo-de-la-espriella-sigue-sumando-apoyos-para-la-seleccion-del-tigre-estos-son-los-nombres-que-llegan-a-la-campana/,,agrisales333,Amparo_Grisales,,,
Sebastián Caicedo,artistas,Actores,Replicó discursos y entrevistas del candidato en sus redes.,https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,Copia archivada (Wayback)::https://web.archive.org/web/20260611023039/https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,,sebastiancaicedo,SebasCaicedo_,,_sebastiancaicedo_,
Piter Albeiro,artistas,Humoristas,Respaldo público a la campaña en redes sociales.,https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,Copia archivada (Wayback)::https://web.archive.org/web/20260611023039/https://www.semana.com/gente/articulo/cristina-hurtado-marbelle-sebastian-caicedo-y-mas-famosos-que-han-expresado-su-apoyo-a-abelardo-de-la-espriella/202637/,,piteralbeiro,PITERALBEIRO,PiterAlbeiroOficial,piteralbeirotv,PiterAlbeiroTv
Nairo Quintana,artistas,Deportistas,"Videollamada con el candidato: 'Mi presidente, ¿cómo estás?'",https://www.infobae.com/colombia/2026/06/12/nairo-quintana-le-expreso-su-apoyo-al-candidato-presidencial-abelardo-de-la-espriella-mi-presidente-como-estas/,,,nairoquincoficial,NairoQuinCo,nairo.quintana,,
Teófilo Gutiérrez,artistas,Deportistas,Video con el lema 'Firmes por la patria'; el artículo señala que 'siempre mostró su apoyo' a la candidatura.,https://www.semana.com/deportes/articulo/asi-celebro-teofilo-gutierrez-el-triunfo-de-abelardo-de-la-espriella-reaccion-es-viral/202648/,Copia archivada (Wayback)::https://web.archive.org/web/20260623012914/https://www.semana.com/deportes/articulo/asi-celebro-teofilo-gutierrez-el-triunfo-de-abelardo-de-la-espriella-reaccion-es-viral/202648/,,teogutierrez_,teogol_,TeofiloG29,,
